round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
24,0.8096470344684815,0.4166855655734114,0.8000200581686892,0.8256909222647759,0.8126528117359413,0.8099661835063315,0.8096470344684815,0.8095980237934914,7667,1994,1684,7977,0.8256909222647759,0.7936031466721871,0.8096470344684815,0.8929701563683757,0.8825145603324431,19322,FedAdam,balanced,1,0.3,1,428956419
25,0.8117689680157334,0.41388586232685953,0.8008389932081502,0.8299347893592796,0.8151273318761755,0.8121810433280279,0.8117689680157334,0.8117068318228593,7667,1994,1643,8018,0.8299347893592796,0.7936031466721871,0.8117689680157334,0.8943963535363146,0.884444388854005,19322,FedAdam,balanced,1,0.3,1,428956419
26,0.8145119552841321,0.41136972628149787,0.802428585647457,0.8344891833143567,0.8181449157702456,0.8150148319072865,0.8145119552841321,0.8144378993722373,7676,1985,1599,8062,0.8344891833143567,0.7945347272539075,0.8145119552841321,0.8956986313836384,0.8863824036646146,19322,FedAdam,balanced,1,0.3,1,428956419
27,0.8161680985405237,0.4089461102548205,0.8051143741883928,0.8342821654073077,0.8194387962586417,0.8165836074572079,0.8161680985405237,0.8161077599256523,7710,1951,1601,8060,0.8342821654073077,0.7980540316737398,0.8161680985405237,0.8970063091391056,0.8883940339066447,19322,FedAdam,balanced,1,0.3,1,428956419
28,0.8169444156919573,0.4065338203017205,0.807244631747943,0.8327295311044405,0.8197890660824375,0.8172606228427616,0.8169444156919573,0.8168987923881189,7740,1921,1616,8045,0.8327295311044405,0.8011593002794741,0.8169444156919573,0.8983656288732489,0.8905404035448066,19322,FedAdam,balanced,1,0.3,1,428956419
29,0.8186523134251112,0.40414651622477404,0.8098017510314984,0.8329365490114895,0.8212062455352587,0.8189125963468626,0.8186523134251114,0.8186153038030173,7771,1890,1614,8047,0.8329365490114895,0.8043680778387331,0.8186523134251114,0.8997604444321541,0.892747399529548,19322,FedAdam,balanced,1,0.3,1,428956419
30,0.8201531932512163,0.4017767227630226,0.8136280673291422,0.8305558430804264,0.8220048148337858,0.82029183493307,0.8201531932512163,0.8201337290004921,7823,1838,1637,8024,0.8305558430804264,0.809750543422006,0.8201531932512163,0.9011684169101081,0.894951056959473,19322,FedAdam,balanced,1,0.3,1,428956419
31,0.8214988096470345,0.39937831116396794,0.8161644951140065,0.8299347893592796,0.8229920451629459,0.8215903545268917,0.8214988096470345,0.8214861055711906,7855,1806,1643,8018,0.8299347893592796,0.8130628299347894,0.8214988096470345,0.9025888820326959,0.8971284124450668,19322,FedAdam,balanced,1,0.3,1,428956419
32,0.8223786357519925,0.39700689189749416,0.8189452124935996,0.8277611013352655,0.8233295583238958,0.8224159985247113,0.8223786357519925,0.8223734897457755,7893,1768,1664,7997,0.8277611013352655,0.8169961701687196,0.8223786357519925,0.90396861213393,0.899182502795386,19322,FedAdam,balanced,1,0.3,1,428956419
33,0.8233619708104751,0.39469142900944687,0.8220618556701031,0.8253803954042025,0.8237177831723568,0.8233672404519712,0.8233619708104751,0.8233612511775283,7935,1726,1687,7974,0.8253803954042025,0.8213435462167478,0.8233619708104751,0.9052884503968242,0.9011273847923453,19322,FedAdam,balanced,1,0.3,1,428956419
