round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples
65,0.9661,0.12338207055246848,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8704751854840752,0.3491445821126562,10000
66,0.9661,0.12070967743269614,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8747862265307187,0.36427040597374877,10000
67,0.9661,0.12100150633516837,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8769336556461691,0.37560368908853803,10000
68,0.9661,0.12226677117668149,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8852607830223332,0.3866939551063166,10000
69,0.9661,0.11960504740265414,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.888078119642305,0.3840096427037919,10000
70,0.9661,0.11866523327776776,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8738372417886713,0.40388286650858674,10000
71,0.9661,0.12056830178692164,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.872375902993485,0.3997198851329536,10000
72,0.9661,0.11973978134901911,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8743215049163698,0.34508607464514146,10000
73,0.9661,0.12326512896259642,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8854897851319007,0.37405621803551403,10000
74,0.9661,0.12165896135195499,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8768258719865994,0.38217397462833214,10000
75,0.9661,0.12115388321272526,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8677628844983587,0.3993104822574315,10000
76,0.9661,0.12050273125598535,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8663748263782339,0.3837971316331064,10000
77,0.9662,0.11943097113672771,1.0,0.0029498525073746312,0.0058823529411764705,0.9830983098309831,0.5014749262536873,0.49434504218778047,9661,0,338,1,0.0029498525073746312,1.0,0.5014749262536873,0.8541122214151169,0.326895790518828,10000
78,0.9661,0.1212016381007259,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8481035113962136,0.3164501511465463,10000
79,0.9661,0.12039481210358258,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8656982014784987,0.3556353094820278,10000
80,0.9661,0.12223736810555955,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8711811226538352,0.36815059953897156,10000
81,0.9661,0.12147759988464907,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8656356075685504,0.334416559507484,10000
82,0.9661,0.12014807503074551,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8606784752367805,0.35583588386209103,10000
83,0.9661,0.12121262580674756,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8586879889004204,0.3971124687435315,10000
84,0.9661,0.12327006168920032,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8645571603005606,0.3864055929856383,10000
85,0.9661,0.12285192844251817,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.857562214529787,0.3900992853613264,10000
86,0.9661,0.11949771800690918,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8619755431853705,0.35393870201917443,10000
87,0.9661,0.11901538515600653,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8725129989230794,0.36902226372847896,10000
88,0.9661,0.12214865745759117,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8686645421377621,0.38462828436768737,10000
89,0.9661,0.12210180637080391,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8633846694995754,0.39897301158581566,10000
90,0.9661,0.12383949161965527,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8678584547120848,0.38943413354182543,10000
91,0.9661,0.12606401547003737,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8736821310264576,0.35639168358840273,10000
92,0.9661,0.12376830396769595,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8730729854150083,0.3569783703769594,10000
93,0.9661,0.12271223176954847,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8611566316415573,0.3688477195017067,10000
94,0.9661,0.12391897382683173,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8490378400032488,0.3916091931980051,10000
95,0.9661,0.12376414587492401,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8654609552929867,0.3415279029487006,10000
96,0.9661,0.12260411700105955,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8589380592040681,0.3619836386258896,10000
97,0.9661,0.12523076980956413,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8646273876141615,0.35987177468148973,10000
98,0.9661,0.12495956475209494,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8610686948314834,0.38726110481352943,10000
99,0.9661,0.12431235735952173,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8606595443957229,0.3939501097610254,10000
100,0.9661,0.12158315960820898,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8600760470205452,0.36355137016620015,10000
101,0.9661,0.12031039882027986,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8572645117873492,0.34706627036710047,10000
102,0.9661,0.12241022055739668,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8612937275711517,0.36718338669189876,10000
103,0.9661,0.12005905648498803,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8499144600786728,0.39642987325930584,10000
104,0.9661,0.12265707749098627,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8674642657474827,0.37208309720148514,10000
105,0.9661,0.12261480200976967,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8742613536955903,0.37139629474157604,10000
106,0.9661,0.12043246010934144,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8604995482551719,0.39161363811986394,10000
107,0.9661,0.12207126610378398,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8615132642601903,0.3761288889213342,10000
108,0.9661,0.12289165881848926,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8787662831950008,0.39073204984396437,10000
109,0.9661,0.12236533957747668,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8667253522739452,0.3880957025885138,10000
110,0.9661,0.12591278913051965,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8656612558048219,0.34441395004126674,10000
111,0.9661,0.12365998208392844,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8627245327517291,0.3470854622173758,10000
112,0.9661,0.12241345689536275,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8800435042940948,0.3724093528834051,10000
113,0.9661,0.12174113435764468,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8778966858509367,0.36376172294820264,10000
114,0.9661,0.1205676938718484,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8675665533564227,0.3576868198142649,10000
115,0.9661,0.12146864834152145,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8660685742237056,0.3866573065025327,10000
116,0.9661,0.12090559454832688,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8629642216264095,0.37225491516157183,10000
117,0.9661,0.12023054842244713,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8694260504861104,0.37099258959402975,10000
118,0.9661,0.12110130317434471,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8712113509322982,0.40015911737108073,10000
119,0.9661,0.12163976264701744,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8732552710942239,0.3852736362354127,10000
120,0.9661,0.12377557970322567,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8748659192648482,0.38338532997111463,10000
121,0.9661,0.12308719004651439,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8724461303070856,0.3831974652303645,10000
122,0.9661,0.12175092427724171,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8550954038055265,0.36013180391943267,10000
123,0.9661,0.12448906474932978,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8671006103974898,0.35198196833427287,10000
124,0.9661,0.12344046845661269,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8800602977821297,0.37364911620017144,10000
125,0.9661,0.12100748747506225,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8643797599996824,0.3740083464265808,10000
